"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"346",13,"Jalen Guyton",LAC,"97.2","0","0","31","448","3","7","34","0"
"347",13,"Las Vegas Raiders",LV,"65","0","0","0","0","0","0","0","0"
"348",13,"Ty Montgomery",NE,"29.9","0","0","16","95","0","15","44","0"
"349",13,"Tyquan Thornton",NE,"0","0","0","0","0","0","0","0","0"
"350",13,"Jared Cook",FA,"132.4","0","0","48","564","4","0","0","0"
"351",13,"Jaret Patterson",WAS,"55.9","0","0","10","73","0","68","266","2"
"352",13,"David Johnson",FA,"81.3","0","0","32","225","1","67","228","0"
"353",13,"Jelani Woods",IND,"0","0","0","0","0","0","0","0","0"
"354",14,"Jaylen Warren",PIT,"0","0","0","0","0","0","0","0","0"
"355",14,"Foster Moreau",LV,"85.3","0","0","30","373","3","0","0","0"
"356",14,"T.Y. Hilton",FA,"74.1","0","0","23","331","3","0","0","0"
"357",14,"Khalil Shakir",BUF,"0","0","0","0","0","0","0","0","0"
"358",14,"Cade York",CLE,"0","0","0","0","0","0","0","0","0"
"359",14,"James Washington",DAL,"65.8","0","0","24","285","2","2","13","0"
"360",14,"Sam Darnold",CAR,"170.28","2527","9","0","0","0","48","222","5"
"361",14,"Amari Rodgers",GB,"9.6","0","0","4","45","0","1","11","0"
"362",14,"Olamide Zaccheaus",ATL,"89.8","0","0","31","406","3","1","2","0"
"363",14,"Desmond Ridder",ATL,"0","0","0","0","0","0","0","0","0"
"364",14,"Danny Gray",SF,"0","0","0","0","0","0","0","0","0"
"365",14,"Cade Otton",TB,"0","0","0","0","0","0","0","0","0"
"366",14,"Detroit Lions",DET,"58","0","0","0","0","0","0","0","0"
"367",14,"Malcolm Brown",FA,"22.5","0","0","3","10","0","33","125","1"
"368",14,"Demarcus Robinson",BAL,"69.4","0","0","25","264","3","0","0","0"
"369",14,"Calvin Austin III",PIT,"0","0","0","0","0","0","0","0","0"
"370",14,"DeeJay Dallas",SEA,"60.1","0","0","21","133","0","33","138","2"
"371",14,"John Metchie III",HOU,"0","0","0","0","0","0","0","0","0"
"372",14,"Atlanta Falcons",ATL,"65","0","0","0","0","0","0","0","0"
"373",14,"Keaontay Ingram",ARI,"0","0","0","0","0","0","0","0","0"
"374",14,"John Bates",WAS,"50.9","0","0","20","249","1","0","0","0"
"375",14,"Devontae Booker",FA,"144.1","0","0","40","268","1","145","593","2"
"376",14,"Jauan Jennings",SF,"82.2","0","0","24","282","5","0","0","0"
"377",14,"Latavius Murray",FA,"103.6","0","0","10","75","0","119","501","6"
"378",14,"Rashard Higgins",CAR,"57.5","0","0","24","275","1","0","0","0"
"379",14,"Brett Maher",DAL,"62","0","0","0","0","0","0","0","0"
"380",14,"Chris Conley",HOU,"64.6","0","0","22","323","2","1","3","0"
"381",14,"Anthony Schwartz",CLE,"33.4","0","0","10","135","1","6","39","0"
"382",14,"Kylen Granson",IND,"21.6","0","0","11","106","0","0","0","0"
"383",14,"Tyler Johnson",TB,"72","0","0","36","360","0","0","0","0"
"384",14,"Noah Brown",DAL,"34.4","0","0","16","184","0","0","0","0"
"385",14,"Laquon Treadwell",JAC,"82.4","0","0","33","434","1","0","0","0"
"386",14,"Travis Homer",SEA,"61.8","0","0","16","161","0","21","177","1"
"387",14,"Kene Nwangwu",MIN,"23","0","0","4","9","0","13","61","0"
"388",14,"Joey Slye",WAS,"100","0","0","0","0","0","0","0","0"
"389",14,"Dee Eskridge",SEA,"28.3","0","0","10","64","1","4","59","0"
"390",14,"Devonta Freeman",FA,"146.6","0","0","34","190","1","133","576","5"
"391",14,"Houston Texans",HOU,"87","0","0","0","0","0","0","0","0"
"392",14,"Josiah Deguara",GB,"61.5","0","0","25","245","2","0","0","0"
"393",14,"Wayne Gallman Jr.",FA,"13.5","0","0","1","21","0","28","104","0"
"394",14,"Equanimeous St. Brown",CHI,"20.2","0","0","9","98","0","3","14","0"
"395",14,"Zane Gonzalez",CAR,"98","0","0","0","0","0","0","0","0"
"396",14,"Ashton Dulin",IND,"45.5","0","0","13","173","2","3","32","0"
"397",14,"Brandon Bolden",LV,"124.1","0","0","41","405","2","44","226","1"
"398",14,"Trestan Ebner",CHI,"0","0","0","0","0","0","0","0","0"
"399",14,"Deonte Harty",NO,"113.1","0","0","36","570","3","5","41","0"
"400",14,"Austin Seibert",DET,"42","0","0","0","0","0","0","0","0"
"401",14,"Pharaoh Brown",HOU,"38.1","0","0","23","171","0","0","0","0"
"402",14,"Benny Snell Jr.",PIT,"13.1","0","0","2","13","0","36","98","0"
"403",14,"Antonio Brown",FA,"121.1","0","0","42","545","4","1","6","0"
"404",14,"Tristan Vizcaino",NE,"29","0","0","0","0","0","0","0","0"
"405",14,"Taysom Hill",NO,"126.72","0","0","4","52","0","70","374","5"
"406",14,"Tutu Atwell",LAR,"0","0","0","0","0","0","0","0","0"
"407",14,"Abram Smith",NO,"0","0","0","0","0","0","0","0","0"
"408",14,"Derrick Gore",KC,"56.1","0","0","8","105","0","51","256","2"
"409",14,"Jonathan Garibay",FA,"0","0","0","0","0","0","0","0","0"
"410",14,"Zach Pascal",PHI,"94.5","0","0","38","384","3","2","21","0"
"411",14,"Craig Reynolds",DET,"35.2","0","0","7","52","0","55","230","0"
"412",14,"Kyle Juszczyk",SF,"73.8","0","0","30","296","1","8","22","1"
"413",14,"Keelan Cole Sr.",LV,"78.9","0","0","28","449","1","0","0","0"
"414",14,"Tylan Wallace",BAL,"4.3","0","0","2","23","0","0","0","0"
"415",14,"Malik Willis",TEN,"0","0","0","0","0","0","0","0","0"
"416",15,"Teddy Bridgewater",MIA,"209.68","3052","18","0","0","0","30","106","2"
"417",15,"Tony Jones Jr.",NO,"22.1","0","0","5","29","0","54","142","0"
"418",15,"Geoff Swaim",TEN,"70","0","0","31","210","3","0","0","0"
"419",15,"Juwan Johnson",NO,"52.9","0","0","13","159","4","0","0","0"
"420",15,"Freddie Swain",SEA,"86.5","0","0","25","343","4","5","32","0"
"421",15,"Will Dissly",SEA,"50.1","0","0","21","231","1","0","0","0"
"422",15,"Eric Ebron",FA,"32.5","0","0","12","84","1","1","1","1"
"423",15,"Ty Chandler",MIN,"0","0","0","0","0","0","0","0","0"
"424",15,"N'Keal Harry",CHI,"28.4","0","0","12","184","0","0","0","0"
"425",15,"Anthony McFarland Jr.",PIT,"2.4","0","0","1","11","0","3","3","0"
"426",15,"Mack Hollins",LV,"60.3","0","0","14","223","4","0","0","0"
"427",15,"Jamal Agnew",JAC,"76","0","0","24","229","1","7","111","1"
"428",15,"Riley Patterson",DET,"59","0","0","0","0","0","0","0","0"
"429",15,"Demetric Felton Jr.",CLE,"50.5","0","0","18","181","2","7","24","0"
"430",15,"Jeremy Ruckert",NYJ,"0","0","0","0","0","0","0","0","0"
"431",15,"Justin Watson",KC,"0","0","0","0","0","0","0","0","0"
"432",15,"Auden Tate",FA,"12.9","0","0","3","39","1","0","0","0"
"433",15,"Mike Boone",DEN,"7.7","0","0","2","22","0","4","35","0"
"434",15,"Ihmir Smith-Marsette",MIN,"28.6","0","0","5","116","2","0","0","0"
"435",15,"Ben Skowronek",LAR,"24.3","0","0","11","133","0","0","0","0"
"436",15,"Kevin Harris",NE,"0","0","0","0","0","0","0","0","0"
"437",15,"Chris Herndon IV",FA,"14","0","0","4","40","1","0","0","0"
"438",15,"Denzel Mims",NYJ,"21.3","0","0","8","133","0","0","0","0"
"439",15,"Tarik Cohen",FA,"0","0","0","0","0","0","0","0","0"
"440",15,"Ryan Santoso",FA,"18","0","0","0","0","0","0","0","0"
"441",15,"Jordan Akins",NYG,"41.7","0","0","24","214","0","1","3","0"
"442",15,"Carlos Hyde",FA,"45.8","0","0","12","65","0","72","253","1"
"443",15,"JaMycal Hasty",SF,"49.5","0","0","23","157","0","16","68","1"
"444",15,"Phillip Dorsett II",HOU,"18","0","0","7","110","0","1","0","0"
"445",15,"Kalif Raymond",DET,"132.4","0","0","48","576","4","4","28","0"
"446",15,"Antoine Wesley",ARI,"57.8","0","0","19","208","3","0","0","0"
"447",15,"Ian Thomas",CAR,"36.8","0","0","18","188","0","0","0","0"
"448",15,"Dare Ogunbowale",HOU,"50.1","0","0","13","114","1","43","137","1"
"449",15,"Blake Jarwin",FA,"32.6","0","0","11","96","2","0","0","0"
"450",15,"Durham Smythe",MIA,"70","0","0","34","357","0","2","3","0"
"451",15,"Jake Ferguson",DAL,"0","0","0","0","0","0","0","0","0"
"452",15,"Quinn Nordin",FA,"0","0","0","0","0","0","0","0","0"
"453",15,"Tyrell Williams",FA,"3.4","0","0","2","14","0","0","0","0"
"454",15,"Simi Fehoko",DAL,"0","0","0","0","0","0","0","0","0"
"455",15,"Jordan Mason",SF,"0","0","0","0","0","0","0","0","0"
"456",15,"James O'Shaughnessy",CHI,"50.4","0","0","24","244","0","0","0","0"
"457",15,"Julius Chestnut",TEN,"0","0","0","0","0","0","0","0","0"
"458",15,"Chris Moore",HOU,"55.7","0","0","21","227","2","0","0","0"
"459",15,"Royce Freeman",HOU,"34.6","0","0","10","77","0","56","169","0"
"460",15,"Aldrick Rosas",FA,"22","0","0","0","0","0","0","0","0"
"461",15,"DeSean Jackson",FA,"75.8","0","0","20","454","2","1","4","0"
"462",15,"Qadree Ollison",ATL,"19.7","0","0","4","12","0","21","105","1"
"463",15,"Kylin Hill",GB,"3.9","0","0","1","5","0","10","24","0"
"464",15,"Chigoziem Okonkwo",TEN,"0","0","0","0","0","0","0","0","0"
"465",15,"Jalen Wydermyer",NE,"0","0","0","0","0","0","0","0","0"
"466",15,"Jashaun Corbin",NYG,"0","0","0","0","0","0","0","0","0"
"467",15,"Gary Brightwell",NYG,"2","0","0","1","6","0","1","4","0"
"468",15,"Jimmy Graham",FA,"50.7","0","0","14","167","3","0","0","0"
"469",15,"Le'Veon Bell",FA,"38.1","0","0","5","30","1","39","101","2"
"470",15,"Justyn Ross",KC,"0","0","0","0","0","0","0","0","0"
"471",15,"Justice Hill",BAL,"0","0","0","0","0","0","0","0","0"
"472",15,"Jermar Jefferson",DET,"25.7","0","0","4","23","0","15","74","2"
"473",15,"Tajae Sharpe",CHI,"48","0","0","25","230","0","0","0","0"
"474",15,"Dennis Houston",DAL,"0","0","0","0","0","0","0","0","0"
"475",15,"Sam Howell",WAS,"0","0","0","0","0","0","0","0","0"
"476",15,"Tyler Kroft",SF,"39.3","0","0","16","173","1","0","0","0"
"477",15,"Jordan Howard",FA,"62.5","0","0","2","19","0","86","406","3"
"478",15,"Jacob Harris",LAR,"0","0","0","0","0","0","0","0","0"
"479",15,"Dez Fitzpatrick",TEN,"15.9","0","0","5","49","1","0","0","0"
"480",15,"Sam Ficken",FA,"0","0","0","0","0","0","0","0","0"
"481",15,"Jeremy McNichols",PIT,"73.6","0","0","28","240","1","41","156","0"
"482",15,"Joe Flacco",NYJ,"23.82","338","3","0","0","0","2","3","0"
"483",15,"Carlos Martinez",DAL,"0","0","0","0","0","0","0","0","0"
"484",15,"Patrick Ricard",BAL,"20.7","0","0","8","63","1","2","4","0"
"485",15,"Ryan Griffin",CHI,"65.1","0","0","27","261","2","0","0","0"
"486",15,"Ryquell Armstead",JAC,"12.6","0","0","3","16","0","15","80","0"
"487",15,"Gardner Minshew II",PHI,"34.66","439","4","0","0","0","9","21","0"
"488",15,"Kennedy Brooks",PHI,"0","0","0","0","0","0","0","0","0"
"489",15,"Jonathan Ward",ARI,"9.7","0","0","3","34","0","9","33","0"
"490",15,"Tyler Huntley",BAL,"86.64","1081","3","0","0","0","47","294","2"
"491",15,"Larry Rountree III",LAC,"15.6","0","0","1","-1","0","36","87","1"
"492",15,"DeAndre Carter",LAC,"86.5","0","0","24","296","3","10","89","0"
"493",15,"Blake Bell",KC,"18.7","0","0","9","87","0","4","10","0"
"494",15,"Montrell Washington",DEN,"0","0","0","0","0","0","0","0","0"
"495",15,"C.J. Ham",MIN,"32.9","0","0","17","125","0","7","34","0"
"496",16,"James McCourt",JAC,"0","0","0","0","0","0","0","0","0"
"497",16,"Maxx Williams",ARI,"41.3","0","0","16","193","1","0","0","0"
"498",16,"Tyler Davis",GB,"7.5","0","0","4","35","0","0","0","0"
"499",16,"Godwin Igwebuike",DET,"18","0","0","7","60","0","18","118","1"
"500",16,"Tyrod Taylor",NYG,"86.74","966","5","0","0","0","19","151","3"
"501",16,"Miles Boykin",PIT,"1.6","0","0","1","6","0","0","0","0"
"502",16,"Rico Dowdle",DAL,"0","0","0","0","0","0","0","0","0"
"503",16,"Zach Gentry",PIT,"35.7","0","0","19","167","0","0","0","0"
"504",16,"Brandon Zylstra",CAR,"49","0","0","18","250","1","0","0","0"
"505",16,"Ray-Ray McCloud",SF,"66.2","0","0","39","277","0","2","15","0"
"506",16,"Drew Sample",CIN,"19.1","0","0","11","81","0","0","0","0"
"507",16,"Ross Dwelley",SF,"15.1","0","0","4","51","1","0","0","0"
"508",16,"Noah Gray",KC,"16.6","0","0","7","36","1","0","0","0"
"509",16,"Nick Boyle",BAL,"1.2","0","0","1","2","0","0","0","0"
"510",16,"Tre' McKitty",LAC,"10.5","0","0","6","45","0","0","0","0"
"511",16,"Marcedes Lewis",GB,"44.4","0","0","23","214","0","0","0","0"
"512",16,"Cole Turner",WAS,"0","0","0","0","0","0","0","0","0"
"513",16,"Mike Thomas",CIN,"10.2","0","0","5","52","0","0","0","0"
"514",16,"Hunter Long",MIA,"1.8","0","0","1","8","0","0","0","0"
"515",16,"Keith Smith",ATL,"17.7","0","0","9","56","0","9","31","0"
"516",16,"Cyril Grayson Jr.",TB,"44.6","0","0","10","212","2","1","14","0"
"517",16,"Alec Ingold",MIA,"24.6","0","0","10","85","1","2","1","0"
"518",16,"Johnny Mundt",MIN,"1.9","0","0","1","9","0","0","0","0"
"519",16,"Tyler Goodson",GB,"0","0","0","0","0","0","0","0","0"
"520",16,"Chester Rogers",HOU,"65","0","0","30","301","1","1","9","0"
"521",16,"Breshad Perriman",TB,"33.4","0","0","11","167","1","1","-3","0"
"522",16,"Damiere Byrd",ATL,"64.9","0","0","26","329","1","0","0","0"
"523",16,"Preston Williams",MIA,"13.8","0","0","6","71","0","1","7","0"
"524",16,"Trent Sherfield",MIA,"23.7","0","0","9","87","1","0","0","0"
"525",16,"Josh Gordon",KC,"14.2","0","0","5","32","1","0","0","0"
"526",16,"Bo Melton",SEA,"0","0","0","0","0","0","0","0","0"
"527",16,"Charlie Kolar",BAL,"0","0","0","0","0","0","0","0","0"
"528",16,"Colby Parkinson",SEA,"8.3","0","0","5","33","0","0","0","0"
"529",16,"Bisi Johnson",MIN,"0","0","0","0","0","0","0","0","0"
"530",16,"Marcus Johnson",SF,"24.8","0","0","9","160","0","2","-2","0"
"531",16,"Cam Sims",WAS,"48.8","0","0","15","211","2","1","7","0"
"532",16,"Brock Wright",DET,"35.7","0","0","12","117","2","0","0","0"
"533",16,"Deon Jackson",IND,"9.1","0","0","0","0","0","13","31","1"
